0,0
1,2
2,4
3,6
4,8
5,10
6,12
7,14
8,16
9,18
10,20
11,22
12,24
13,26
14,28
15,30
16,32
17,34
18,36
19,38
20,40
21,42
22,44
23,46
24,48
25,50
26,0
27,2
28,4
29,6
30,8
31,10
32,12
33,14
34,16
35,18
36,20
37,22
38,24
39,26
40,28
41,30
42,32
43,34
44,36
45,38
46,40
47,42
48,44
49,46
50,48
51,50
52,0
53,2
54,4
55,6
56,8
57,10
58,12
59,14
60,16
61,18
62,20
63,22
64,24
65,26
66,28
67,30
68,32
69,34
70,36
71,38
72,40
73,42
74,44
75,46
76,48
77,50
78,0
79,2
80,4
81,6
82,8
83,10
84,12
85,14
86,16
87,18
88,20
89,22
90,24
91,26
92,28
93,30
94,32
95,34
96,36
97,38
98,40
99,42
100,44
