0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,49
52,48
53,47
54,46
55,45
56,44
57,43
58,42
59,41
60,40
61,39
62,38
63,37
64,36
65,35
66,34
67,33
68,32
69,31
70,30
71,29
72,28
73,27
74,26
75,25
76,24
77,23
78,22
79,21
80,20
81,19
82,18
83,17
84,16
85,15
86,14
87,13
88,12
89,11
90,10
91,9
92,8
93,7
94,6
95,5
96,4
97,3
98,2
99,1
100,0
