-50,50
-49,48.02
-48,46.08
-47,44.18
-46,42.32
-45,40.5
-44,38.72
-43,36.98
-42,35.28
-41,33.62
-40,32
-39,30.42
-38,28.88
-37,27.38
-36,25.92
-35,24.5
-34,23.12
-33,21.78
-32,20.48
-31,19.22
-30,18
-29,16.82
-28,15.68
-27,14.58
-26,13.52
-25,12.5
-24,11.52
-23,10.58
-22,9.68
-21,8.82
-20,8
-19,7.22
-18,6.48
-17,5.78
-16,5.12
-15,4.5
-14,3.92
-13,3.38
-12,2.88
-11,2.42
-10,2
-9,1.62
-8,1.28
-7,0.98
-6,0.72
-5,0.5
-4,0.32
-3,0.18
-2,0.08
-1,0.02
0,0
1,0.02
2,0.08
3,0.18
4,0.32
5,0.5
6,0.72
7,0.98
8,1.28
9,1.62
10,2
11,2.42
12,2.88
13,3.38
14,3.92
15,4.5
16,5.12
17,5.78
18,6.48
19,7.22
20,8
21,8.82
22,9.68
23,10.58
24,11.52
25,12.5
26,13.52
27,14.58
28,15.68
29,16.82
30,18
31,19.22
32,20.48
33,21.78
34,23.12
35,24.5
36,25.92
37,27.38
38,28.88
39,30.42
40,32
41,33.62
42,35.28
43,36.98
44,38.72
45,40.5
46,42.32
47,44.18
48,46.08
49,48.02
50,50
